tweet;emotion;Neutral,''- (10/10) gw suka jadi wanita misterius - (100/10) omg lucu banget capa ini - (8/10) ni pasti temen smp - (8,5/10) do you get deja vuu''
''dan yg booster bisa jadi orang yg ga bodoh dan ekonominya ga pas pasan, jd ga ada masalah buat swab, ..jadinya ketahuan positif deh'';Neutral;Neutral,''dana receh buat 10 org gaiss, doain aku bigwin siang ini makasii''
''dana receh buat 10 org gaiss, doain aku bigwin siang ini makasii'';Neutral;Joy,''dangdut enak''
''dangdut enak'';Joy;Joy,''dapat kabar baik alhamdulillah jimin udah dinyatakan negatif covid.''
''dapat kabar baik alhamdulillah jimin udah dinyatakan negatif covid.'';Joy;Neutral,''dapatkan buku pesan di chat dan temukan kesayanganmu di toko daring kami di: shopee tokopedia''
''dapatkan buku pesan di chat dan temukan kesayanganmu di toko daring kami di: shopee tokopedia'';Neutral;Anger,''dari 15 match competitive, yg menang cuma 4, tolol mending uninstall lagi aja udah, emang gk berbakat''
''dari 15 match competitive, yg menang cuma 4, tolol mending uninstall lagi aja udah, emang gk berbakat'';Anger;Anger,''dari awal gasuka karakternya nu, knp dia bisa seserakah itu?? dan bodoh bgt segitu butanya. this is why i called him a jerk''
''dari awal gasuka karakternya nu, knp dia bisa seserakah itu?? dan bodoh bgt segitu butanya. this is why i called him a jerk'';Anger;Love,''dari awal gw termasuk yang menikmati karyanya gofar, walaupun memang bahasanya vulgar dan sebagainya tapi bukankah itu pilihan ? kalau kalian gak suka yaudah, gak perlu nikmati karyanya.. lagian modelan gofar banyak banget kok luaran sana.. love gofar''
''dari awal gw termasuk yang menikmati karyanya gofar, walaupun memang bahasanya vulgar dan sebagainya tapi bukankah itu pilihan ? kalau kalian gak suka yaudah, gak perlu nikmati karyanya.. lagian modelan gofar banyak banget kok luaran sana.. love gofar'';Love;Love,''dari becanda-becandaan, jadi suka-sukaan, jadi sayang-sayangan dan sampai akhirnya saling takut kehilangan. :)''
''dari becanda-becandaan, jadi suka-sukaan, jadi sayang-sayangan dan sampai akhirnya saling takut kehilangan. :)'';Love;Love,''dari ke 5 varian, aku suka yang jasmine sih. wanginya ga nusuk terus kecium & tahan lama, kaya apa ya wanginya.. mirip teh melati gitu. kalo yang lavender itu soft banget wanginya.''
''dari ke 5 varian, aku suka yang jasmine sih. wanginya ga nusuk terus kecium & tahan lama, kaya apa ya wanginya.. mirip teh melati gitu. kalo yang lavender itu soft banget wanginya.'';Love;Fear,''dari kemaren aku demam + tenggorokan nya sakit.. ya allah takut''
''dari kemaren aku demam + tenggorokan nya sakit.. ya allah takut'';Fear;Neutral,''dari luar aku kelihatan baik-baik saja, tapi pikiran ku kusut sekali. rasa bersalah, overthingking terus''
''dari luar aku kelihatan baik-baik saja, tapi pikiran ku kusut sekali. rasa bersalah, overthingking terus'';Neutral;Neutral,''dari pasa sedih, sini kita hibur di gdm dan have fun aja''
''dari pasa sedih, sini kita hibur di gdm dan have fun aja'';Neutral;Love,''dari sekian banyak komenan army kenapa si s*tan yang ke notice si . emang bener, seberapa baik manusia tetep ada aja yang ga suka, tapi tae jangan khawatir masih banyak army yang sayang tae. ilysm ''
''dari sekian banyak komenan army kenapa si s*tan yang ke notice si . emang bener, seberapa baik manusia tetep ada aja yang ga suka, tapi tae jangan khawatir masih banyak army yang sayang tae. ilysm '';Love;Love,''dari semua fs mfs yg paling gue tunggu pasti khawla karena dia keren banget ga ngerti lagi gue suka banget kalo dia ngobrol ama mark''
''dari semua fs mfs yg paling gue tunggu pasti khawla karena dia keren banget ga ngerti lagi gue suka banget kalo dia ngobrol ama mark'';Love;Anger,''dari subuh udh ga mood, pas main ml pun jdi emosi an''
''dari subuh udh ga mood, pas main ml pun jdi emosi an'';Anger;Anger,''dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?''
''dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?'';Anger;Neutral,''daripada kecewa mending kecewe''
''daripada kecewa mending kecewe'';Neutral;Neutral,''daripada sepi meningan tambahin followers kamu disini''
''daripada sepi meningan tambahin followers kamu disini'';Neutral;Joy,''day 1 terlalu semangat terus datengnya kepagian dan belom ada orang''
''day 1 terlalu semangat terus datengnya kepagian dan belom ada orang'';Joy;"Joy,''d-day aku bener"" berdoa yang terbaik buat kamu, semoga bisa sehat"" dan bahagia selalu, diberi kelancaran dalam setiap hal yang dilakukan.,makasih banget udah terlahir jadi jungmo, yang senyumnya selalu berhasil bikin aku mesem-mesem.,(part 1)''"
"''d-day aku bener"" berdoa yang terbaik buat kamu, semoga bisa sehat"" dan bahagia selalu, diberi kelancaran dalam setiap hal yang dilakukan.,makasih banget udah terlahir jadi jungmo, yang senyumnya selalu berhasil bikin aku mesem-mesem.,(part 1)''";Joy;Love,''dear cowo : kenapa si kalian suka banget ga gasi kejelasan sama cewe apa kalian itu aslinya lagi deket sama banyak cewe dan ga mau mereka hilang''
''dear cowo : kenapa si kalian suka banget ga gasi kejelasan sama cewe apa kalian itu aslinya lagi deket sama banyak cewe dan ga mau mereka hilang'';Love;Sad,''dear! hi aku umur 19 punya sepupu cewe umur 22 nahh dia mau nikah trus dikira mua nya aku yg mau nikah, si sodaraku ini bilang intinya mukanya borosan aku, ada ngga sih skincare yg gabikin muka boros, sedih banget dikatain gitu :(''
''dear! hi aku umur 19 punya sepupu cewe umur 22 nahh dia mau nikah trus dikira mua nya aku yg mau nikah, si sodaraku ini bilang intinya mukanya borosan aku, ada ngga sih skincare yg gabikin muka boros, sedih banget dikatain gitu :('';Sad;Neutral,''debut 20 tahun, boa sebut pertama kali lakukan hal ini bareng member got the beat, bikin karina aespa dan taeyeon snsd kaget''
''debut 20 tahun, boa sebut pertama kali lakukan hal ini bareng member got the beat, bikin karina aespa dan taeyeon snsd kaget'';Neutral;Fear,''deg deg an, gabisa mikir, kalo udh gugup tingkat tinggi biasanya tremor''
''deg deg an, gabisa mikir, kalo udh gugup tingkat tinggi biasanya tremor'';Fear;Fear,''degdegan banget hari ini ya ampun.. semoga lancar,,sinyal bisa kerjasama ya please.. tabletku jgn suka tiba2 no connection ya! salam sehat waras semuanya''
''degdegan banget hari ini ya ampun.. semoga lancar,,sinyal bisa kerjasama ya please.. tabletku jgn suka tiba2 no connection ya! salam sehat waras semuanya'';Fear;Fear,''deg-degan nggak -tu ditanya habis nonton apa karena panik gw jawab habis nonton coboy junior addaffafsf''
''deg-degan nggak -tu ditanya habis nonton apa karena panik gw jawab habis nonton coboy junior addaffafsf'';Fear;Love,''demennnn banget sama energi ini''
''demennnn banget sama energi ini'';Love;Anger,''demi allah benci banget sama gwinam''
''demi allah benci banget sama gwinam'';Anger;,''demi allah kaget, yaampun. peluk cium muah love youuuu''
''demi allah kaget, yaampun. peluk cium muah love youuuu'';;Sad,''demi allah.. yang kena siapa, yang nangis siapa.. gua jadi peran badguy banget klo begini pdhl gua yg dibikin sedih''
''demi allah.. yang kena siapa, yang nangis siapa.. gua jadi peran badguy banget klo begini pdhl gua yg dibikin sedih'';Sad;Love,''demi apa gue seneng banget temen sirkel sma gue banyak yang suka anime''
''demi apa gue seneng banget temen sirkel sma gue banyak yang suka anime'';Love;Love,''demi apapun ini baguss banget. aku nangis selama baca ini. emang bahasannya agak berat. tapi aku suka banget bacanya. haish jadi pengen baca buku historical fiction yang lainnya :(''
''demi apapun ini baguss banget. aku nangis selama baca ini. emang bahasannya agak berat. tapi aku suka banget bacanya. haish jadi pengen baca buku historical fiction yang lainnya :('';Love;Joy,''demi apapun ini enak bgt fess''
''demi apapun ini enak bgt fess'';Joy;Joy,''demi apapun suaranya niji enak banget ya allah. sanji mengmaaf aku gonggong buat niji dulu''
''demi apapun suaranya niji enak banget ya allah. sanji mengmaaf aku gonggong buat niji dulu'';Joy;Neutral,''demi keamanan data yg dimaksud, mohon kesediaan bpk untuk mengirimkan pesan ke email mandiricare.co.id atau menghubungi layanan mandiri call 1400 agar dilakukan pengecekan lebih lanjut. semoga sehat selalu. tks~fatma (2)''
''demi keamanan data yg dimaksud, mohon kesediaan bpk untuk mengirimkan pesan ke email mandiricare.co.id atau menghubungi layanan mandiri call 1400 agar dilakukan pengecekan lebih lanjut. semoga sehat selalu. tks~fatma (2)'';Neutral;Joy,''demi masa depan yang cerah,aku di larang menyerah''
''demi masa depan yang cerah,aku di larang menyerah'';Joy;Anger,''demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull''
''demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull'';Anger;Joy,''demi yaa gtu aja udh enak bangeets''
''demi yaa gtu aja udh enak bangeets'';Joy;Neutral,''dendam antara ppbm dan umno saja waktu pn, umno tarik sokongan untuk jadi pula kerajaan walaupun agak rapuh, janji jangan bagi anwar jadi pm itu dasar dan kebersamaan nya bila melaka dan sarawak result cantik, aim pula johor''
''dendam antara ppbm dan umno saja waktu pn, umno tarik sokongan untuk jadi pula kerajaan walaupun agak rapuh, janji jangan bagi anwar jadi pm itu dasar dan kebersamaan nya bila melaka dan sarawak result cantik, aim pula johor'';Neutral;Neutral,''dendam menyebabkan imunitas tubuh kita mati. disitulah bermula awal segala penyakit, stress, kolesterol tinggi, darah tinggi, jantung dll.''
''dendam menyebabkan imunitas tubuh kita mati. disitulah bermula awal segala penyakit, stress, kolesterol tinggi, darah tinggi, jantung dll.'';Neutral;Neutral,''dengan beredarnya vidio ini, semoga media2 online tv atau cetak, pada stop gausah beritain koronal koronol omrica omricon mercon lagi. biar semua kembali normal. karena kuncinya tuh ada di berita!''
''dengan beredarnya vidio ini, semoga media2 online tv atau cetak, pada stop gausah beritain koronal koronol omrica omricon mercon lagi. biar semua kembali normal. karena kuncinya tuh ada di berita!'';Neutral;Anger,''dengan berlindung merasa punya hak imunitas dpr ih bodoh amat saya gak pilih dia sebagai perwakilan rakyat sok orang sunda diam wae santet saja dari jarak jauh si orang pdi p itu nanti nglunjak dan besar kepala nya ..si anjing''
''dengan berlindung merasa punya hak imunitas dpr ih bodoh amat saya gak pilih dia sebagai perwakilan rakyat sok orang sunda diam wae santet saja dari jarak jauh si orang pdi p itu nanti nglunjak dan besar kepala nya ..si anjing'';Anger;Neutral,''dengan bersyukur kita akan senantiasa diliputi rasa damai,tentram dan bahagia''
''dengan bersyukur kita akan senantiasa diliputi rasa damai,tentram dan bahagia'';Neutral;Love,''dengan kotak kecil dan hati merah kecil di dalamnya, aku juga ingin menyampaikan penuh suka, terima kasih, atas pertemanan indahmu tanpa pamrih. cc:''
''dengan kotak kecil dan hati merah kecil di dalamnya, aku juga ingin menyampaikan penuh suka, terima kasih, atas pertemanan indahmu tanpa pamrih. cc:'';Love;"Love,''dengan pengalaman kisah cinta yang kurang beruntung. kadang selalu overthinking setiap ada yang deketin, ujung""nya suka bingung jawab apa dan akhirnya skip. tapi kalau liat konten uwu uwu pasangan nikah muda, suka pengen jugaa''"
"''dengan pengalaman kisah cinta yang kurang beruntung. kadang selalu overthinking setiap ada yang deketin, ujung""nya suka bingung jawab apa dan akhirnya skip. tapi kalau liat konten uwu uwu pasangan nikah muda, suka pengen jugaa''";Love;Neutral,''dengan senang hati & terima kasih konfirmasinya. jika kamu membutuhkan informasi, jangan sungkan untuk chat kami kembali ya atau kamu jg bs mendapatkan informasi melalui help center via aplikasi ataupun website have a nice day. terima kasih by ts''
''dengan senang hati & terima kasih konfirmasinya. jika kamu membutuhkan informasi, jangan sungkan untuk chat kami kembali ya atau kamu jg bs mendapatkan informasi melalui help center via aplikasi ataupun website have a nice day. terima kasih by ts'';Neutral;Joy,''dengan senang hati, kak ini, semoga bisa bantu memandu yaa,''
''dengan senang hati, kak ini, semoga bisa bantu memandu yaa,'';Joy;Neutral,''dengarin musik sambil streaming video klipnya tidak takut ngabisin quota klau pake indihome''
''dengarin musik sambil streaming video klipnya tidak takut ngabisin quota klau pake indihome'';Neutral;Neutral,''denger denger rp makin sepi ya''
''denger denger rp makin sepi ya'';Neutral;Neutral,''denger kabar kageyama jualan baju koko ditanah abang''
''denger kabar kageyama jualan baju koko ditanah abang'';Neutral;Love,''denger kamu kecelakaan kaget banget, dan khawatir bagaimana keadaan kamu. aku nggak tau seberapa sakit kamu menghadapi ini semua, tapi percayalah kami selalu ada disampingmu i love you bunny''
''denger kamu kecelakaan kaget banget, dan khawatir bagaimana keadaan kamu. aku nggak tau seberapa sakit kamu menghadapi ini semua, tapi percayalah kami selalu ada disampingmu i love you bunny'';Love;Fear,''denger kata, foto-in satu-satu mukanya. dan yang bilang jendral bintang 4, mantang pangkostrad. warga kehormatan kopassus dan tentunya pimpinan tertinggi angkatan darat. ngeri bos..wkwk''
''denger kata, foto-in satu-satu mukanya. dan yang bilang jendral bintang 4, mantang pangkostrad. warga kehormatan kopassus dan tentunya pimpinan tertinggi angkatan darat. ngeri bos..wkwk'';Fear;Love,''denger lagunya def sunset with you keputer di epicure semarang.. kaget.. dan bangga kwhskshssks ily bestie''
''denger lagunya def sunset with you keputer di epicure semarang.. kaget.. dan bangga kwhskshssks ily bestie'';Love;Neutral,''dengerin kata abang , dulu abang umur 19 tahun bisa dapet piala fa. kalo ade gagal gpp semangat perjalanan masih panjang tapi abang pesen jangan kaya si kayu ijo itu yak!!''
''dengerin kata abang , dulu abang umur 19 tahun bisa dapet piala fa. kalo ade gagal gpp semangat perjalanan masih panjang tapi abang pesen jangan kaya si kayu ijo itu yak!!'';Neutral;Sad,''denise gw sedih''
''denise gw sedih'';Sad;Sad,''denise ih gila gua sedih banget denise langsung deg jantung gua''
''denise ih gila gua sedih banget denise langsung deg jantung gua'';Sad;Sad,''denise sayangkuu gw udah ngira bakal begini endingnya tapi tetep aja gw sedih bgt''
''denise sayangkuu gw udah ngira bakal begini endingnya tapi tetep aja gw sedih bgt'';Sad;Joy,''denise semoga kamu bahagia y:))''
''denise semoga kamu bahagia y:))'';Joy;"Sad,''denise suara muu hcuwbxja omg sedih si u keluar dari sc tp gpp ayokk banyak"" up vid di yt and debut lg(?) wkwk''"
"''denise suara muu hcuwbxja omg sedih si u keluar dari sc tp gpp ayokk banyak"" up vid di yt and debut lg(?) wkwk''";Sad;Sad,''denisee huhu pagi pagi sedih, liat polaroidnya jd kangen jaman who dis sama got that boom''
''denisee huhu pagi pagi sedih, liat polaroidnya jd kangen jaman who dis sama got that boom'';Sad;Neutral,''detektif yang berhasil menangkap pelaku dengan hipotesanya tapi membiarkan pelaku bunuh diri, sama saja dengan pembunuh -conan edogawa / shinichi kudo-''
''detektif yang berhasil menangkap pelaku dengan hipotesanya tapi membiarkan pelaku bunuh diri, sama saja dengan pembunuh -conan edogawa / shinichi kudo-'';Neutral;Anger,''dgr suara org yg makannya ngecap asli emosi aink''
''dgr suara org yg makannya ngecap asli emosi aink'';Anger;Sad,''dgrin child smbl inget dl nntonin mrka jmn rookies agk sedih gt, dh pd gede smua gaada yg kepala 1 lg pdhl dl ga trlalu suka mrk krn liatnya kek msh bocah gt pdhl jg gedean mrka:v''
''dgrin child smbl inget dl nntonin mrka jmn rookies agk sedih gt, dh pd gede smua gaada yg kepala 1 lg pdhl dl ga trlalu suka mrk krn liatnya kek msh bocah gt pdhl jg gedean mrka:v'';Sad;Anger,''dh fb kau unfollow alah bijak ingat aku bodoh''
''dh fb kau unfollow alah bijak ingat aku bodoh'';Anger;Anger,''dh mbak ga usah dilanjutin debatnya. cowo cuma mikir enak mah, udah mbak stop aja capek ntar. Bikin kesel aj''
''dh mbak ga usah dilanjutin debatnya. cowo cuma mikir enak mah, udah mbak stop aja capek ntar. Bikin kesel aj'';Anger;Neutral,''di aku ngaruh, pake pas malem mau tidur besoknya udah normal agak mendingan''
''di aku ngaruh, pake pas malem mau tidur besoknya udah normal agak mendingan'';Neutral;Neutral,''di antara banyak sifat orang bertaqwa ialah sifat pandai menahan marah, dan mudah memaafkan sesama manusia''
''di antara banyak sifat orang bertaqwa ialah sifat pandai menahan marah, dan mudah memaafkan sesama manusia'';Neutral;Anger,''di anyara anggota dki, aku pingin macarin model kasino marah aja lucu sewotnya, apalagi pas ngerayu cewek''
''di anyara anggota dki, aku pingin macarin model kasino marah aja lucu sewotnya, apalagi pas ngerayu cewek'';Anger;Anger,''di bilang kalau sudah hatinya hitam mana ada bisa bedain putih atau hitam. yg pintar bisa mendadak bodoh kalau sudah hatinya penuhin dengan penyakit hati''
''di bilang kalau sudah hatinya hitam mana ada bisa bedain putih atau hitam. yg pintar bisa mendadak bodoh kalau sudah hatinya penuhin dengan penyakit hati'';Anger;Joy,''di chip enak biyanget''
''di chip enak biyanget'';Joy;Neutral,''di ft galak2 bgt diteriak2in sm kating di sini saking baiknya sblm mulai apa2 ditanya dulu apa kabar semalem tidur jam brp sm katingnya''
''di ft galak2 bgt diteriak2in sm kating di sini saking baiknya sblm mulai apa2 ditanya dulu apa kabar semalem tidur jam brp sm katingnya'';Neutral;Fear,''di ig cuma sesekali doang bikin story, itu pun random isinya, cuma biar keliatan masih hidup aja, takut dikira dah mati''
''di ig cuma sesekali doang bikin story, itu pun random isinya, cuma biar keliatan masih hidup aja, takut dikira dah mati'';Fear;Fear,''di kost bosen bgt, tapi mau main keluar takut deh kasus covid lagi naik. mana mau ada event, jadi mesti jaga kesehatan.''
''di kost bosen bgt, tapi mau main keluar takut deh kasus covid lagi naik. mana mau ada event, jadi mesti jaga kesehatan.'';Fear;Joy,''di saat senang ataupun susah, menangislah dalam hati..''
''di saat senang ataupun susah, menangislah dalam hati..'';Joy;Anger,''di satu sisi, kalopun emang proses kemaren gue gagal, gue gapapa banget minum obat lagi. yang penting kelar. please banget. gue udah benci banget di situasi di mana gue cuman keep rasa sakit sendiri dan gue susah kemana mana. benci banget.''
''di satu sisi, kalopun emang proses kemaren gue gagal, gue gapapa banget minum obat lagi. yang penting kelar. please banget. gue udah benci banget di situasi di mana gue cuman keep rasa sakit sendiri dan gue susah kemana mana. benci banget.'';Anger;Fear,''di sini masih enak banget sih bosnya keluargnya, ga tau gmna kalo doi beneran kerja ke tempat yg bener2 profesional. kaget sih pasti wkwk tapi bagus''
''di sini masih enak banget sih bosnya keluargnya, ga tau gmna kalo doi beneran kerja ke tempat yg bener2 profesional. kaget sih pasti wkwk tapi bagus'';Fear;Neutral,''di taman nasional wasur kanguru kecil (walabi) yang biasa disebut saham relatif mudah ditemui. perburuan tradisional yang sejalan dengan prinsip keberlanjutan diizinkan. perburuan yang merusak jadi tantangan.''
''di taman nasional wasur kanguru kecil (walabi) yang biasa disebut saham relatif mudah ditemui. perburuan tradisional yang sejalan dengan prinsip keberlanjutan diizinkan. perburuan yang merusak jadi tantangan.'';Neutral;"Love,''di tanyain ""lagi apa"" merasa bosan? dan kurang berfaedah? ya karna yang nanya orang yang tidak disuka. coba orang yang di suka yang nanya, pasti exsited banget, sampe roll depan roll belakang, kayang, dll padahal cuman di tanya ""lagi apa"" lucu ya.''"
"''di tanyain ""lagi apa"" merasa bosan? dan kurang berfaedah? ya karna yang nanya orang yang tidak disuka. coba orang yang di suka yang nanya, pasti exsited banget, sampe roll depan roll belakang, kayang, dll padahal cuman di tanya ""lagi apa"" lucu ya.''";Love;Sad,''di tempatku gerimis, kalau di pipimu tangis.''
''di tempatku gerimis, kalau di pipimu tangis.'';Sad;Neutral,''di tengah ruang yang hening, suara aku mungkin terlalu bising untuk telingamu yang terlalu suka pada sunyi. ya, walau di kepalamu tetap saja berisik.''
''di tengah ruang yang hening, suara aku mungkin terlalu bising untuk telingamu yang terlalu suka pada sunyi. ya, walau di kepalamu tetap saja berisik.'';Neutral;Neutral,''di tengah2 generasi yang butuh instant gratification, ternyata kesabaran itu kunci utama yang dibutuhkan untuk bertumbuh. ini ada 1 quote dari leo tolstoy. yang gue suka banget yang menggambarkan tentang proses dan waktu.''
''di tengah2 generasi yang butuh instant gratification, ternyata kesabaran itu kunci utama yang dibutuhkan untuk bertumbuh. ini ada 1 quote dari leo tolstoy. yang gue suka banget yang menggambarkan tentang proses dan waktu.'';Neutral;Fear,''di tlp ex bisa biasa aja tapi kalo ketemu jantung saya tidak aman''
''di tlp ex bisa biasa aja tapi kalo ketemu jantung saya tidak aman'';Fear;Neutral,''di tmpt biasa''
''di tmpt biasa'';Neutral;Sad,''di udahin segitu aja sepi ya, kalo dilanjutin bingung juga''
''di udahin segitu aja sepi ya, kalo dilanjutin bingung juga'';Sad;Fear,''di urut dulu ke tukang urut, takut salah urat''
''di urut dulu ke tukang urut, takut salah urat'';Fear;Fear,''dia anaknya juga jago banget gombal 11 12 sama ayem. aku takut meleyot''
''dia anaknya juga jago banget gombal 11 12 sama ayem. aku takut meleyot'';Fear;Sad,''dia baik , dia tanggung jawab , dia perhatian , dia pengganti sosok papah,dia mengerti aku , orang tuanya sayang anggap aku seperti anaknya , dia tidak membiarkan ak sedih , selalu khawatir kalo aku kenapa napa.. and now , i lost him forever''
''dia baik , dia tanggung jawab , dia perhatian , dia pengganti sosok papah,dia mengerti aku , orang tuanya sayang anggap aku seperti anaknya , dia tidak membiarkan ak sedih , selalu khawatir kalo aku kenapa napa.. and now , i lost him forever'';Sad;,''dia biasanya pergi olahraga sendirian''
''dia biasanya pergi olahraga sendirian'';;Neutral,''dia bikin thread, nanti dia yang malu sendiri pasti. krn bukan tanggung jwb seller kalo udah dilogin''
''dia bikin thread, nanti dia yang malu sendiri pasti. krn bukan tanggung jwb seller kalo udah dilogin'';Neutral;Anger,''dia diam diam benci gua, tapi dia cerita ke orang orang yang benci ke dia. dari 10 orang yang dia kenal kira kira 11 orang lah yang benci sama dia''
''dia diam diam benci gua, tapi dia cerita ke orang orang yang benci ke dia. dari 10 orang yang dia kenal kira kira 11 orang lah yang benci sama dia'';Anger;Fear,''dia doang yg melet2!!!! kaget akk''
''dia doang yg melet2!!!! kaget akk'';Fear;Joy,''dia emang gituu aku juga greget, gemes soft banget di rl tapi kalo liat film/dramanya kaget sekeren ituu''
''dia emang gituu aku juga greget, gemes soft banget di rl tapi kalo liat film/dramanya kaget sekeren ituu'';Joy;Love,''dia kayanya suka banget sama ni kaca ya sering banget foto di kaca ini''
''dia kayanya suka banget sama ni kaca ya sering banget foto di kaca ini'';Love;Sad,''dia macam sedih / strees sbb xde duit tau. tah la''
''dia macam sedih / strees sbb xde duit tau. tah la'';Sad;Neutral,''dia makan mie di tempat biasa ibunya belanja''
''dia makan mie di tempat biasa ibunya belanja'';Neutral;Anger,''dia marah yae di ship sama ayato, katanya yae miko based on yae sakura on honkai yang emang canonically lesbian tapi ini kan genshin impact''
''dia marah yae di ship sama ayato, katanya yae miko based on yae sakura on honkai yang emang canonically lesbian tapi ini kan genshin impact'';Anger;Fear,''dia mau marah pun lucu banget tapi jika masuk teel orang lain aq maloe''
''dia mau marah pun lucu banget tapi jika masuk teel orang lain aq maloe'';Fear;Neutral,''dia memberi kekuatan pada yang lemah dan menambah semangat kepada yang tiada berdaya''
''dia memberi kekuatan pada yang lemah dan menambah semangat kepada yang tiada berdaya'';Neutral;Neutral,''dia minx gmbr ic semua tu. normal ke??''
''dia minx gmbr ic semua tu. normal ke??'';Neutral;Neutral,''dia ngajak balikan cuma buat bales dendam kek nya wkwk gara-gara aku putusin sepihak tanpa kejelasan. padahal aku gak bilang kalau mau balikan dan dia anggap aku pacarnya. teakhir kali diselingkuhin dan aku biasa aja wkwk''
''dia ngajak balikan cuma buat bales dendam kek nya wkwk gara-gara aku putusin sepihak tanpa kejelasan. padahal aku gak bilang kalau mau balikan dan dia anggap aku pacarnya. teakhir kali diselingkuhin dan aku biasa aja wkwk'';Neutral;Anger,''dia nie ngeselin bngt ke guee suka bngt ngisenginn, tp dia tu kek andalan para guru, trs wibu (cm g banget), produktif tidak seperti sayaa, social butterfly bngt, gampang akrab sm orang''
''dia nie ngeselin bngt ke guee suka bngt ngisenginn, tp dia tu kek andalan para guru, trs wibu (cm g banget), produktif tidak seperti sayaa, social butterfly bngt, gampang akrab sm orang'';Anger;Fear,''dia panas ada kali 2 hari sampe 39 deg2an bgt bun. ngeri step''
''dia panas ada kali 2 hari sampe 39 deg2an bgt bun. ngeri step'';Fear;Anger,''dia pasti marah''
''dia pasti marah'';Anger;Anger,''dia pasti ngerasa bersalah banget sama sone dasar agensi bangsat''
''dia pasti ngerasa bersalah banget sama sone dasar agensi bangsat'';Anger;Neutral,''dia punya keinginan besar buat hidup dan bales dendam makanya dia tetep hidup meskipun setengah zombi''
''dia punya keinginan besar buat hidup dan bales dendam makanya dia tetep hidup meskipun setengah zombi'';Neutral;Anger,''dia siap kata kalau alter perkataan kena sign tepi tu. hello, aku ke yang kena sign? tanya la front hang apesal aku lak yang diragukan. nasib x kena carut aku dahlah ak marah betul kalau org spoil mood ak pepagi''
''dia siap kata kalau alter perkataan kena sign tepi tu. hello, aku ke yang kena sign? tanya la front hang apesal aku lak yang diragukan. nasib x kena carut aku dahlah ak marah betul kalau org spoil mood ak pepagi'';Anger;Neutral,''dia susah diajak cerita, anaknya lebih suka dengerin cerita orang lain. jadi, ya dia bakal ovt, ngeluh, atau apapun di twitter nya karena dia ngerasa lebih nyaman cerita di priv daripada ke orang lain, ya walaupun bakal dilihat juga sama orang''
''dia susah diajak cerita, anaknya lebih suka dengerin cerita orang lain. jadi, ya dia bakal ovt, ngeluh, atau apapun di twitter nya karena dia ngerasa lebih nyaman cerita di priv daripada ke orang lain, ya walaupun bakal dilihat juga sama orang'';Neutral;Neutral,''dia takut kali aku gk jadi balik gess.. padahal niatku baik buat belikin mereka ikan, udang, dll buat lauk mereka, tapi di sambut gitu. ya ampunn. aku masih blom sadar dstu''
''dia takut kali aku gk jadi balik gess.. padahal niatku baik buat belikin mereka ikan, udang, dll buat lauk mereka, tapi di sambut gitu. ya ampunn. aku masih blom sadar dstu'';Neutral;Sad,''dia tkde bgi apa apa , tpi janji manis serta harapan palsu dia tu saya masih simpan''
''dia tkde bgi apa apa , tpi janji manis serta harapan palsu dia tu saya masih simpan'';Sad;Love,''dia tuh anak word of affirmation banget bund kaya aku wkwk maaf ya aku suka cheesy juga''
''dia tuh anak word of affirmation banget bund kaya aku wkwk maaf ya aku suka cheesy juga'';Love;Sad,''diaku ngga bgt jerawat makin meradang sampe sekarang on off mulu sedih bgt aku:)''
''diaku ngga bgt jerawat makin meradang sampe sekarang on off mulu sedih bgt aku:)'';Sad;Sad,''diam nder sy sedang kecewa berat''
''diam nder sy sedang kecewa berat'';Sad;Anger,''diam, adalah jawaban terbaik untuk menghadapi orang bodoh!''
''diam, adalah jawaban terbaik untuk menghadapi orang bodoh!'';Anger;Joy,''diannnn ayangg uee semangat belajarnya sayaangg jaga kesehatan yaa''
''diannnn ayangg uee semangat belajarnya sayaangg jaga kesehatan yaa'';Joy;Neutral,''dibalik perkataan aku baik-baik sajaa, selalu ada airmata yang meredakan segalanya. dibalik tulisan indah, selalu ada hati yang terlalu berantakan menuliskannya. ada masa lalu yang setengah mati dikuburkannya.''
''dibalik perkataan aku baik-baik sajaa, selalu ada airmata yang meredakan segalanya. dibalik tulisan indah, selalu ada hati yang terlalu berantakan menuliskannya. ada masa lalu yang setengah mati dikuburkannya.'';Neutral;Fear,''diberau ada konflik lagi antara dayak sama bugis, jd khawatir keadaan ayah, mana handphonenya g aktif di tlf, ayah :(''
''diberau ada konflik lagi antara dayak sama bugis, jd khawatir keadaan ayah, mana handphonenya g aktif di tlf, ayah :('';Fear;Neutral,''diberi keistimewaan malah memalukan, apa kabar komisaris ahok? cc''
