emotion,tweet
Anger,"nie ayam kampung kenapa suka banget ribut sikk"
Anger,"nikmatin -_- saya ada 2 yg asli jarang ada kabar yg 1 lagi malah kadang jadi temen, jadi musuh, jadi temen mabuck, dll -_- kesel"
Anger,"nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja"
Anger,"no 3 sama 4 tolol banget bngst"
Anger,"nonton pilem, antagonisnya ngeselin, "benci banget gue lihat muka lo, jijik pengen gue ludahin."
Anger,"noo waayy abang aku no no pacaran dulu nanti mama marah"
Anger,"ntah tolol beneran atau 'pura-pura tolol' yang masih butuh informasi tentang saya ketika semua akun sosial saya terbuka untuk umum."
Anger,"ntr klo di sadap balik marah, ups."
Anger,"nugget rebus ga enak anjir"
Anger,"nyenye nye, cowok sekarang banyak yang bangsat"
Anger,"oalah masi pagi sudah dibikin emosi."
Anger,"oalahh jadi elu yang suka kentut diem diem?? mana bau banget lagi njink"
Anger,"oematmu tolol sih, gabisa bedain mana bunglon mana asli. kebanyakan halu ngentod ama bidadari transparan ya gini jadinya, otack tydak dipakai ya gesya"
Anger,"oh pantes orang mengakui bodoh og. panjang umur dualisme ckck"
Anger,"oii mangkuk ,sblm ph 22 bln pun harga ayam lat tesco mmg 5.99 bahalol untungla kontol + bodoh free"
Anger,"opini lo yg nomor 3 bodoh, zaman nabi poligami itu untuk ngebebasin wanita dari budak dsb, kalau kata" lo disini lo cuma mau cari enak di elu aja sumpah gedeg bgt gua manusia modelan gini"
Anger,"opini lu jelek bro. menutup keburukan dg agama lu benarkan. poligami untuk menghindari zina? tolol! palkon banyak bacot ttg agama ya gini"
Anger,"ora editan kui ancene wes kene lg sedih malah dsenggol"
Anger,"orang bodoh jadi ustad pengikutnya jadi bodoh semua"
Anger,"orang cuma bisa nya ngeliati hidup orang lain saja, tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener!"
Anger,"orang mah enak punya tempat curhat *selain tuhan ya maksudnya* lah gua kalo curhat ke sape? guamah ngomong bener bisa disalahin, apalagi salah huft"
Anger,"orang normal sarapan nya makanan lari nya ke perut lah kita pagi pagi sarapa bikin kepala kejang !!"
Anger,"orang tuanya "
Anger,"orang2 itu perlu di ajarin attitude berbelanja deh kyk nya. emosi"
Anger,"otak kaum lo yg tolol. pake sumber yg nasional drun."
Anger,"otak mesum ya kayak gini nih. tolol"
Anger,"padahal de gea baru dapet penghargaan, udah dibuat sedih lagi sama tim tolol"
Anger,"padahal gw stay di lokasi jg dianggurin lol buat apa lu nge-hire org luar klo kyk gini ceritanya tolol jd ga pengen gw duitnya mereka gajelas bgt, bikin stress doang, padahal mah ya tinggal beresin doang si, proyek dah kelar juga, dibikin pusing amat"
Anger,"padahal kubu kamu juga buat naik daun kan anis rakyat juga gak bodoh tolol"
Anger,"padahal yang suka marah marah itu lo"
Anger,"pagi pagi bangun dah fucked up. bodoh"
Anger,"pagi pagi dah bikin emosi yaa"
Anger,"pagi pagi dah marah marah"
Anger,"pagi pagi dah rosak mood lah thial. nak orang tolong kau tak payah la marah marah elok orang ikhlas jadi terpaksa pulak halah."
Anger,"pagi pagi emosi"
Anger,"pagi pagi liat orang bikin pie keliatan enak banget gataunya slime day=ruined, jengkel"
Anger,"pagi pagi udah emosi baca au kesel, gak blh ada yg bikin bian kecewa atau sedih ih"
Anger,"pagi pagi udah emosi baca au kesel, gak blh ada yg bikin bian kecewa atau sedih ih"
Anger,"pagi pagi udah emosi gara gara baca 2ha"
Anger,"pagi" suka dh ad uwu uwu bangsat males in"
Anger,"pagi2 dah emosi"
Anger,"pagi2 kok udah emosi"
Anger,"pagi2 mmbuat emosi gan"
Anger,"pagi2 pasti emosi"
Anger,"pagi2 udah dibuat emosyennnn gangerti pikirannya apa posting2 foto cewe mau marah emang yaa nyokap udah gaada tapi mau ga marah jujur pengen marah jujur jadi ga mood hari ini"
Anger,"pagi2 udh dibikin jengkel. heran"
Anger,"pagi-pagi bangsat"
Anger,"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa"
Anger,"pagi-pagi udh dibikin emosi aja ama skuad ferrari."
Anger,"pakai rasa bukan pakai logika tolol cara berpikirnya. ngajio seng jeru ojo mung neng you tube"
Anger,"pake pura2 kaget segala, sok iya -_-"
Anger,"paling benci kalo emak bapak udh ngomongin jodoh. im still fuckin 19"
Anger,"paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :)"
Anger,"paling males banget dapet message yang suka ditarik2 iss masalah hidup lo apa sii?!"
Anger,"palu kau kira kuli, pea"
Anger,"parahh bangsat banget ya, planga plongo dongo beleng2 bangsat2 yg cr makan dr menghiaap darah orang dn nyawa orang"
Anger,"pas ketemu, ngak jdi marah, jdi tambah syg hmm"
Anger,"pas mlaku ijo dikon ngucapke habede tau, ilopyu jangan marah yo tau tur nek pas oren kok kon ngucapke ngene njuk le ngomong kepie gek lanang?"
Anger,"pas sma ga pernah bawa uang saku karena sekolahan deket banget dari rumah, bisa jalan. kadang males banget kalo kerkom jauh-jauh banget karena pulangnya suka malem dan kalau bayar ojol jadi mahal, mending aku kerjain sendiri. bikin sakit hati"
Anger,"pasti guru gue dah ini, kaku banget sih gue kesel"
Anger,"pasti profesor goblok satu ini baru saja ngelonte mkanya pemikirannya jadi seger gini. bagi org kafir ngelonte itu ibadah yg utama"
Anger,"pe yg kau benci sangat siel ngan aku"
Anger,"pebenda lah org penuh dgn emosi last episode, time tu jugak dia nak sumbat ppl"
Anger,"pejabat kaget itu budaya kumpulan orang 2 bego bermain drama, prestasi menjilat , korupnya ga kira2."
Anger,"pen marah marah tanpa sebab"
Anger,"pengen keliatan pinter tapi tolol"
Anger,"pengen marah tapi ngga tau ke siapa"
Anger,"pengen mengumpat seperti biasa."
Anger,"pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget"
Anger,"percaya tapi benci gua kalo suka diem doang kaga ngomong lgsg kek gua kaga gigit elah dan lu cowo yg gentle dong masa kalah sama gentle jen"
Anger,"permulaan yang bangsat untuk febuari 2022"
Anger,"pernah, pas ngomong sama twice, aku bilang temen ku suka sama exo ke nayeon, goblog banget anjing, exo mah ke grup exo ya bukan ke twice, mana nayeon mangut mangut kayak bangga"
Anger,"pertanyaan salah jawaban salah jawaban salah emosi salah emosi salah keputusan salah keputusan salah tindakan salah tindakan salah hasil salah hasil salah nasib salah nasib salah hidup salah"
Anger,"pertanyaan tolol"
Anger,"pickaw punya dendam kek nya"
Anger,"pinjem duit di leasing, giliran ditagih marah ke penagih bayar listrik nunggak, giliran petugas pln cabut fasilitas listrik, eh petugas pln malah dikeroyok. pesan barang cod, enggak sesuai ekspektasi, malah kurir yang disuruh bayar. wow, luar biasa!"
Anger,"please jangan buat gue emosi ya pagi pagi, hey para homophobic"
Anger,"poin 1-2 okelah, poin selanjutnya itu lho, gw cowok aja marah bacanya"
Anger,"poin ke 3 kayak org bodoh ga sih? ngapain udah nikah berzinah sama wanita lain, ya di pikir aja. itu mah emang nafsu lo yang kayak gitu, sok-sok an berlindung di balik kata zinah."
Anger,"poin ke 3 tolol banget anjir astagfirullah"
Anger,"poin no 3 solusinya kontrol your kntl pak! enak aja udah dikasih 1 buat seumur hidup masih minta cicip yg lain. poin no 4 juga geli bacanya. ujung2nya yg dipikirin juga perkelamninan ye ini buaya2"
Anger,"point ke 3 tuh kek apa banget yah,mutajir mutajir,deketan lagi coba biar enak nampolnya."
Anger,"polos banget kamu v ada yang hate kamu malah kamu anggap bercanda, bener" gak nyangka msh aja ada yng gak suka ama org baik seperti ini"
Anger,"pram said ini lgu buat kalian, yang punya rumah tapi terpaksa pergi karna suatu keadaan bangsat itu aku"
Anger,"prettytitit pencitraan lo udah sampai kelangit 7 pemprov lo kekurangan dana pajak lo hilangkan itukan aneh ,gua gak tau itu namanya dungu atau bodoh dua"nya julukan kamu!!"
Anger,"profesor begini, saya resign dari kampus mendingan, bikin malu almameter, kesel"
Anger,"punya acara pagi bukannya disiapin dari malem atau bangun lebih awal malah milih marah marah di pagi hari, hdehh"
Anger,"punya gasi lo temen yang dateng pas butuh doang, giliran kita yang butuh dia malah ngilang kek diculik setan. pagi pagi dh buat emosi aja anjingggggggg"
Anger,"punya lama guna sonicator. pastu semalam najmi cakap tahu tak sonicator ni boleh buat jadi mandul? i was like aneh aneh lah dia ni. pastu tanya akmal. akmal iya kan. benci aa tanya diorang ni double confirm kat google dengan adnin. tipu je diorang ni"
Anger,"rakyat sudah ribut dari kemarin, lalu dpr baru kaget sekarang. mereka digaji dengan uang rakyat kemarin ngapain aja? bukannya dpr harusnya check balances? Bikin eksmosi"
Anger,"ramah tamah rajin marah tak mau mengalah"
Anger,"rame apa sepi nih!?? kasih info yg jelas napa"
Anger,"rasa macam terlalu bodoh untuk law ni, nk ambil course lain lagi la bodo keje grab je la"
Anger,"rawedi di benci, ramekso dikonco. be your self ngadek jejek tampo basa basi."
Anger,"record of youth walau gue benci bgt sama endingnya"
Anger,"reply la ws apa yang susah sangat nak suruh fix app je pun kang aku tak masuk kelas pastu kata aku ponteng bodoh betul"
Anger,"rich itu udah lama sekali rich ngehapus sebagian memorinyaa kaah? kek dia benci sekali memori ituu dan dia gamauu inget?"
Anger,"risih, gak suka banget soalnya kayak yang terlalu .. gimana gitu"
Anger,"ruhut kader terbaik dlm hal menjilat..bego di pelihara, ga punya urat malu"
Anger,"rumit banget jadi orang ya ,kalo ga suka ya simpel keep aja sih.ribet banget hidupnya"
Anger,"saat itu juga pengen gua tonjok tapi ditahan jadinya gua dorong aja ampe jatoh dari bangku kalo suka tu bilang, lah ini malah bikin 3 kelas benci gua semua manaan ada yang bikin grup "haters nya bella" kenapasi alay banget goblok"
Anger,"sabar sabar gak boleh marah"
Anger,"sabar sabar jgn emosi"
Anger,"saja pilih yg kontroversi. mcm saja nak suruh org benci"
Anger,"sakit hati, tapi ga berhak marah juga karena bukan siapa2"
Anger,"salah bank katanya tak bagi paperwork pakai letterhead firma dia. eh eh. kau yang bodoh ok. bank pon kata kau tak check sebelum bagi cust sign"
Anger,"salah sendiri baperan, tolol!"
Anger,"salah sih bang gua liat retweet lu pagi2 gini. auto kesel baca twit mutajir. jadinya kan gua memulai weekend yg cerah ini dgn kekesalan. emang bener kata emak, kalo bangun tidur jangan langsung buka twitter."
Anger,"salahnya dimana ketika harus marah pada hal yang salah?? sedang kebaikan kebaikan yg juga ada pada video engkau potong potong.. gak kelas komisaris ndul.."
Anger,"sangat tolol bbm langka,beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011"
Anger,"santai aja bg. aku nanya karna emg gatau. di caption fungsi nya utk mengurangi kelelahan. aku baru tau. cara kerja nya yang gatau. santai ya bg. jgn gampang goblok goblokin orang goblok"
Anger,"santai buat cowok , gak ush emosi , sabar ok. biarkan mereka menilai seperti yak apa tentang cowok , kita cukup memilih mana yg lbh cocok haha"
Anger,"saraf pada otak mutanjir kena, ini mah udh ga ketolong tolol nya"
Anger,"satu kata jangan mengundi , sebab semua bodoh"
Anger,"satu keluarga suka kucing tapi ada 1 orang yaitu nenekku yang benci banget sama kucing kalo ketauan main kucing pasti diomelin, diperingatin toxo, penyakit, terus bulu nempel sebel banget apaan sih"
Anger,"satu sisi teriak-teriak darurat pandemi, di sisi lain melakukan hal2 bodoh macam ini. kasian sekali nasibmu rakyat"
Anger,"say! gimana cara mainin perasaan cowo dan nantinya si cowo kek nyesel udah ninggalin cewenya gitu? kata temenku si gitu biar berpikir si cowonya ninggalin si x adalah pilihan bodoh "
Anger,"saya bisa masak, saya ini sudah ada bekal untuk main benda tajam dan minyak panas, jadi tolong hargai saya dan jangan bikin saya marah"
Anger,"saya gak habis pikir petani kita sudah dibeginikan tapi masih aja mau pilih yang itu lagi dan lagi. dikasih tau malah marah, kapan sadarnya??"
Anger,"saya sering banget ini gini, apalagi sekolah suka banjir kalo ujan. kan jadi nya nyusahin"
Anger,"saya sungguh benci akan seto , dia ialah seksual anjing pokok pelukan sahaja"
Anger,"sayang nya gue kalo bucin ya mau secakep apapun cowo lain tetep liatnya elo hahah sedih bgt jd cewe ye, knp bucin tolol semua"
Anger,"sayang tidak suka ya kalo sih pacar mu itu dateng pada acara meet and greet kamu nanti saya harap kamu menghargai perasaan fans saya tidak mau acara kamu kacau hanya karna pacar mu itu dateng ."
Anger,"sdh banyak masyarakat yg tau gerak-gerik pembohong penjual dalil si bangsat provokator hh pemecah belah anak bangsa.. mmg polisi hrsnya sgr menjebloskan bui bajingan jnj"
Anger,"sebb tu kalau org2 macam ni nak jalan aku buat x tahu je, selamba je jalan. kau x de hak nak halang2 jalan org. kecuali ambulans. bodoh"
Anger,"sei ini ya gue baru bangun tidur udh bikin emosi aja"
Anger,"sek pagi wes emosi, udaah mau 3 hari gabisa login."
Anger,"sekiranya ig dipegang sm cowonya, jangan followan sm sec acc aing karna gada cowo di sec acc aku dan tbtb cowo tmn w ngeliat gtu aja suka ngelike ngelike. ga banget"
Anger,"selama perintah suami tidak melanggar syariat. hormat tapi nggak tolol. makanya islam buat org yg mau berfikir.."
Anger,"selamat pagi mari memulai hari dengan emosi yuk mampir~"
Anger,"semangatt walaupun dalam hati berkata bangsat"
Anger,"semenjak bisa belanja online, beliau suka beli barang yang sebenernya nggak dibutuhin banget, ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karna jengkel"
Anger,"semua harus di bayar dengan balas dendam -sasuke uchiha"
Anger,"semua hobinya kaget, jengkel"
Anger,"semua kadrun benci ahok. itu sdh lumrah."
Anger,"semua yg dari arab pasti halal cuy bagi sebagian orang-orang bodoh yg ada di indonesia kdrt aja dibenarkan kencing onta aja diminum teroris dijadikan anggota fatwa mui teroris dijadikan ulama, ustadz n guru agama kok"
Anger,"sender tolol bikin emosi aja pagi2 gini"
Anger,"sepertinya opung msh dendam bu"
Anger,"sepi conge!!!"
Anger,"sering banget update sw, pas abis minjem duit eh, kukira kontaknya udah terhapus anj.. foya-foya sambil ngumpet gak enak tau, bangsat"
Anger,"setelah kucing gua udh di steril selama 13 hari itu udah dikurung dirumah, dan hari ini kabur dong main lagi ke rumah si tetangga sinting ini langsung gua kejar eh berharap gak ketemu dia tau2 malah sapaan ketemu amnjing bener dah bangsat"
Anger,"setuju, makanya kadang gue suka gedeg sama yg pro sm banget kayak anjir mereka aja urus artisnya ga becus"
Anger,"shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo"
Anger,"short au leejeno udh end, bikin emosi"
Anger,"si bego nyalain lilin semaleman alhasil bangun bangun dah habis"
Anger,"si bodoh, minta monthly salary gak ngitung dulu kalo diannual ternyata sama aja sana sama sini pas di approved bingung kelabakan"
Anger,"si gwinam?? kayaknya dia punya keinginan hidup yg tinggi kan ada dendam sama chongsan"
Anger,"si kapitalis politik yg bodoh"
Anger,"si mutajir mancing emosi sih pagi2"
Anger,"si tolol lupa membawa seperangkat alat mandi:))"
Anger,"si tolol udah tau crush nya ga ngerti bahasa inggris, malah ngode pake lagu western."
Anger,"siap tolol"
Anger,"siapa tau lewat tl twitter anaknya, biar malu tu orang, makhlk tdk tau diri gitu"
Anger,"silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun."
Anger,"sinyal kenapa suka banget bapuk tibatiba y. emosi allahu"
Anger,"sjshhd yaampun iya pantesan, ih bego banget aku"
Anger,"skr baru luu semua bikin gerakan cuci tangan??belajar dulu sana sama dokter odgj gk tau malu bangsa ini"
Anger,"slogan tu dah boleh buang, ganti dengan "semua polis adalah bangsat"
Anger,"soalnya dari kecil udah dicekokin kalo yang cakep itu yang kulitnya putih, alias tolol"
Anger,"soalnya tiap ketemu yg ngaku suka banget sama muse, kalo ditanya: "oh suka muse, suka lagu muse apa?" "supermassive dan starlight mas" pergi! jauh2 kamu!"
Anger,"sok"an kaget , dasar beban"
Anger,"sorry bang gue paling benci kalo ada yang bilang dia lebih cape dari gue"
Anger,"sorry to say, gk dulu deh opini nya kak. gamasuk di akal dan hati nurani soalnya. ya kalo sekali dua kali mah gpp, kalo tiap pagi(?) hmm. mending aku rusak hubungan daripada trus trusan nahan emosi jiwa nglawan rekanan gatau diri."
Anger,"sorry. kesel banget sama orang2 kaya gini. harus berapa kali gue jelasin. capek. lo pada suka anime lah, bola lah, blabla gue mana ada sih komen??!?!"
Anger,"soumu bangsat."
Anger,"srs benci giler dgn org yg tak sabar n tak hormat cuti org."
Anger,"sudah makan belum bang, janganlah marah atau sedih karena kalah.."
Anger,"suka banget ikut campur nih kanye pdhal ga ada yg nyebut nama anjir.. dahlah problematik emng"
Anger,"suka banget menyengsarakan rakyat.. kemarin ngotot gak mau menaikan ump skrg mau atur atur iuan pekerja yg dipaksa potong dari gaji"
Anger,"suka banget ngetease jay. sadar diri wooyy !!!"
Anger,"suka banget ya dikasarin, giliran ditampol beneran nangess, dasar orang ga jelas"
Anger,"suka gak abis pikir klo orang punya pikiran selingkuh/main belakang kek heh anjg pacar lu mati"an jaga lu, ngurus hidup lu yg gak seberapa bagus, ngerawat lu, tpi masih mikir buat selingkuh?? sumpah sampah banget"
Anger,"suka gatel banget mas kalo yg ginian ga disebarin yawloh"
Anger,"suka heran sama tipe manusia yg ga ada angin ga ada ujan tau2 sinis bgt tiap diajak ngobrol. tp cuma ke lu doang. ke yg lain b aja. kek why? kasih tau aja napa salah w dimana"
Anger,"suka ksl sama bt banget dehh dia suka marah klo aku ga ngabarin dia dlu klo mau pergi tpii dia sendiri klo mau pergi ngabarinnya pass udh di tempat ks gaksi"
Anger,"suka marah"
Anger,"suka nih yg bikin emosi gini jadi tag aku dong kack"
Anger,"sumpah anjrit ngerjain revisian tuh kenapa berat banget siihh males nya ituloh. kek paling beraat banget suka heran sama diri sendiri"
Anger,"sumpah benci banget kalo dibalesnya gini. iye sehat-sehat aja sekarang, merasa bersih, tapi di dalem badan nggak ada yang tau. apalagi kalo main sana-sini dan suka seks berisiko. masa sih tega celakain orang yang katanya lu sayang?"
Anger,"sumpah bikin emosi aja pagi pagi"
Anger,"sumpah gue benci banget orang kaya gini.. kalau g suka lebih baik diam drpd melakukan sesuatu yg bikin sakit hati, kl ibunya sampai tau gimana sakit nya anaknya digituin mb nya udah sempurna apa? benci banget sama org yg mandang fisik"
Anger,"sumpah gw emosi banget yoo"
Anger,"sumpah sih makin marah dan kecewa sama daddy !"
Anger,"sumpah ya tuhan, maaf banget. tapi semoga dia dpt balasan karma setimpal krn ga adil dan suka nipu bawahannya."
Anger,"sumpah yaa, instagram tuh kadang resee suka gak kasih notiff"
Anger,"sumpah, shara bangsat anjeng bajingan"
Anger,"supaya generasi yg sekarang jadi bodoh..kan mudah di begoin"
Anger,"susah bgt liat orang lain bahagia sih, dasar para pelakor"
Anger,"syaraf bin edan..g puny malu goblok cebong tolol sama dngn s mukidi"
Anger,"tahu tak benda bodoh apa yang aku dengar dekat radio pagi ni? lagu hael 'kelentang kelentung' diorang nyanyi translate ke english tak memasal era ni dah kena maki"
Anger,"tahulah nak luah kat siapa. terasa bodoh gila"
Anger,"tai banget weh ini udh r9 mbak mas baru ngomong gini skrg napa kaga dr dulu2 sebelom event? pc suka disold out in tapi tau2 sedekah r1-r9 komplit ke influencer monmaap kalo jujur2an prioritas fans adalah pcnya bukan produknya ya gimana ya"
Anger,"taik gua benci twitter, suka ke refresh sendiri bangsaat, padahal tadi ada tweet lucu jadi gak kebaca"
Anger,"taik kau goblok !! bangsat !!"
Anger,"tak sah tak bodoh"
Anger,"tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu"
Anger,"takan ada kesempatan kedua jika tahun ini kalian masih bego semua data hasil kaya saya sia sia buat cerdaskan kalian"
Anger,"takde warning bodoh ni tikus just brushed past my leg"
Anger,"takut kok sama sky, ancem aja gajinya bunda potong bulan depan, diem pasti, keki dengernya"
Anger,"tapi aku gamau sambil bilang "kalo buat manas manasin mantan mending sama bestie kakak aja biar makin berasa" dengan nada bercanda. dianya malah.. marah. dan aku gak sadar kalo aku udah ada di.. tempat nongki gengnya.. dia fitnah aku abis2an"
Anger,"tapi keselnya sih ya itu, ada pertanyaan dari base yang mewakili gue banget, tapi kok sepi banget, gue udah nungguin padal"
Anger,"tapi lu selalu ngasih argumen seakan lu doang yg sakit anjing. kalo emang lo ga suka sama gue fine tinggalin gue dari awal, dan ga perlu ngerespon lebih dri itu, justru lo ngerespon seakan yg bakal kejadi nyata banget."
Anger,"tapi meningkat banget hasilnya gimana kalau ditanyain? trus kamu pikir dosen cuma bakal lihat dan jadiin laporan evaluasi kita jadi bungkus gorengan? ya bakal ditanyain lah bambang bikin naik emosi pagi2."
Anger,"tapi ttep gue msi g trima anjg mksd lo apa td buka baju tdi? kaget ajg"
Anger,"tata lo juga bego yaa"
Anger,"tau apa yg buat gue marah? lg baca au tbtb ke out sendiri"
Anger,"tau elah tolol banget finishingnya busuk aslii padahal di lapangan nguasain pertandingan, nyeselkan absen trophy lagi aja musim ini mengcape bener lah"
Anger,"tbh pengin marah karena dia yg mendadak pake ikut masuk mobil. cuman yg ditakutin bukan diri sendiri sakit, tapi takutnya bawa penyakit ke orang rumah"
Anger,"tbl tbl takut banget loh, iri kan lo ga bisa gitu makanya jangan gatel"
Anger,"tbtb dikirimin kuis tebak mana fotoku dan salah nebak, malah marah marah, kan ga keliatan"
Anger,"telat lu ngasih tau faktanya min,kalo sblm pertandingan kasih tau fakta nya kan gw gk se kecewa ini"
Anger,"temen-temen gue aji mumpung semua bangsat"
Anger,"terlalu cantik emak jd buzzer, biasanya kusam, kusut dan norak, mana gk jelas lagi"
Anger,"terlalu cuek dan capek berantem terus, tiap gue complain karna dia terlalu sibuk dan cuek malah dia yg marah, like what??"
Anger,"terlampau taksub pun susah ended up nampak macam orang bodoh"
Anger,"ternyata ada yg lebih bego dari aku, jauh malah"
Anger,"ternyata gue di block sama cowo kr di ig gegara dia pas minta foto yg aneh" ke gue trs gue tolak, lagian minta foto yg aneh" mulu dikata gue bego apa"
Anger,"terpantau balas dendam goro" sumpek ndek dosen sing sak penake dewe"
Anger,"terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang"
Anger,"terserah kalian lah..apapun kata kalian pasti dibenarkan oleh yg bodoh.."
Anger,"terus lawan siapa? tambah suwe tambah koyok wkwk lanjutkan lawakannya nawak nawak, gak emosi blass kok malah lucu lak nyawang"
Anger,"terus ujaran naon? ujaran bangsat? ujaran kunyuk?"
Anger,"tetangga yang gue anggap deket bgt karna baik k3bangetan dan royal bgt, eh taunya dpo invest bodong hampir 1m. bangke! jadi takut soalnya byk org2 dtg trus dm2 gue nyari2 info malesin anjir"
Anger,"tetep aja namanya selingkuh kok ya tolol banget. kakean alesan"
Anger,"tiap kali nak marah mesti kena mcm ni. hahah takpela tak jadi nak marah"
Anger,"tiati bego beneran"
Anger,"tidak peduli, marah, ataupun kesal ketika grup lawan memenangkan award. karena itu, netizen geram dengan tingkah "sok hebat" dari rae. beberapa netizen berkomentar positif maupun negatif, apa-apaan dia!? baru saja debut sudah sok-sok an"
Anger,"tinggal like aja kan bisa kok marah si"
Anger,"tka gak usah asal jeplak kalau tidak tahu budaya orang indonesia.. bodoh jangan di pertontonkan.. tka buzzerrp dapet berapa receh.. dasar lambe arus"
Anger,"tlong jgn bikin emosi pagi-pagi, aku lg puasa"
Anger,"tolol aja yg ngeseriusin"
Anger,"tolol banget gue, anjing. kok bisa kelepasan"
Anger,"tolol banget ini mah mana 17 lagi yang udah liat"
Anger,"tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara"
Anger,"tolol bersama.."
Anger,"tolol bgt asu"
Anger,"tolol bgt nilo jilat tai sebdiri guwvtakut siiii bayangin omar marahh eumm"
Anger,"tolol lu"
Anger,"tolol sampe ke dna nya ni orang.."
Anger,"tolol sekali jek"
Anger,"tolol, namanya adek ga harus anak kecil. adek ya, yang posisi lahirnya setelah kakak, mau jecil atau gede ga ada urusan.. dongo"
Anger,"tolong adain fitur unsend, gua malu bngt jancok !!!!"
Anger,"tolong jangan benci fany, fany baik-baik kok gak makan orang kok"
Anger,"tolong leon jangan sampe kebawa emosi ya"
Anger,"topa tolol, bukan berarti semua orang ikut pindah"
Anger,"tp di dunia yg skrg ini kek nya malah jadi ancaman deh buat para cewe. dan sekali lagi kalo ada cowo di luaran sana yg masih suka cat calling cewe, lo tuh freak banget anjj."
Anger,"tp kalo yg tbtb kata mba nya bilang mau putus sekolah ya ky nya bukan mak w aja yg marahh bapak w jg lebih marah lagi jgn lupa tetangga pun pastinya ikut bergonjang ganjing atas hidup ini wkwk"
Anger,"tp lebih tolol fenss nya sih"
Anger,"trus hubungane opo bangsat!"
Anger,"tuhkan marah.."
Anger,"tweet yang sangat menghadeuhkan.. *bego dipiara kagak beranak dodonk!!"
Anger,"two twts rj ni, bikin emosi,, mmpir kuy"
Anger,"twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais"
Anger,"tyhan gue ga kuat banget bangsat"
Anger,"udah deh ngaku aja siapa yang mbeking nih bupati. ga takut dihisab panitia hari akhir tah?"
Anger,"udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol"
Anger,"udah gw duga, soalnya tumben bgt cube ngegas bgt promosinya dll, jadi keinget cb helicopter kmrn . cube, kalo lo sampe ngapa2in anak gw awas ya. gw marah bnrn, marah bgt."
Anger,"udah lah lu tuh bodoh jadi mereka ngira lu nyogok gitu aja"
Anger,"udah semangat on soalnya ada ayang yang nyemangatin. sialan lu idang"
Anger,"uish. kena tarik pt la bang. sem 1 teruk, sem 3 tak dpt pt. selang satu sem. kes aku, pointer sem 3 bawah 2.0, sem 5 tak dpt pt. maka survive la korek saving sendiri tanpa pengetahuan ahli keluarga sbb takut kena marah haha"
Anger,"ujunga"nya jadi bangkai saja buanga" duit aja gak guna dan gak ada satupun proyek yang sukses kesallll mau tampol"
Anger,"unesco org arab hahaa kata yg benci anis"
Anger,"vu que wahd marah yesraf 3liya w 3amarli jibi yedkom fougeh je vis kima nebghi ana n3ish w ntweeti cha nebghi w ndir cha y gouli rassi"
Anger,"w clingynya suka peluk peluk bkn ini anjing, ini apaan gajelas banget"
Anger,"wanita ini pamer ogah beri tip ke pelayan, ternyata balas dendam karena pernah jadi korban ghosting"
Anger,"we ustzh marah sbb takde orang masuk kelas pai lepastu rupanya dia yang salah masuk link"
Anger,"weekend nya ga santai banyak hapalan huft"
Anger,"weekend ruined. haih penat la bodoh jadi supporter mu ni"
Anger,"wehh bngt sedih bngt anjing w campur kesel gegara muka lo kayak orang bego"
Anger,"wes kesel + kecewa"
Anger,"wes ngene wae nder serlok saiki, marakne emosi esuk2"
Anger,"wkkw ribet banget. udah paham kok di paksain jadi tolol gak paham. hadeh"
Anger,"wkwkakak faker tolol ye"
Anger,"wkwkwk emang lo punya agama, benci banget sm yg berbau islam gitu"
Anger,"wkwkwk iya bener2 emosi kalau lihat nino dibanding irvan wkwk dengan ketidak tahu diri dan magadirnya tuh buat gedeg"
Anger,"wkwkwk tolol"
Anger,"woilah pagi pagi bikin emosi anjir"
Anger,"wordle 231 4/6 bego banget nebak huruf lain di percobaan ketiga"
Anger,"woy tolong lah mu klo lgi tolol, tololnya kebangetan banget"
Anger,"ws ra emosi tp weruh koe reply hawane pengen ngamok"
Anger,"ya allah marah betul tengok video ni"
Anger,"ya allah mau marah tpi gimana ya"
Anger,"ya ampun pagi pagi udah bikin emosi wkwk"
Anger,"ya gimana ya bangsat ya gitu gasii"
